team,games,wins,ties,losses,winrate,goals,conceded,homegoals,awaygoals,goalspergame,xg_avg,xg_against_avg,concededpergame,attendance_avg
Brentford,134,46,33,55,34.33%,200,202,113,87,1.492537313432836,1.4365671641791045,1.3850746268656717,1.507462686567164,17472.0
Manchester Utd,134,63,27,44,47.01%,195,186,112,83,1.455223880597015,1.5470149253731342,1.507462686567164,1.3880597014925373,73490.0
Leicester City,96,26,22,48,27.08%,136,171,68,68,1.4166666666666667,1.2270833333333333,1.6864583333333334,1.78125,32097.0
Burnley,76,12,23,41,15.79%,75,131,37,38,0.9868421052631579,1.0578947368421054,1.672368421052632,1.7236842105263157,20231.0
Chelsea,134,60,37,37,44.78%,230,167,116,114,1.7164179104477613,1.6940298507462686,1.2865671641791043,1.2462686567164178,38802.0
Watford,38,6,5,27,15.79%,34,77,17,17,0.8947368421052632,1.05,1.689473684210526,2.026315789473684,20614.0
Everton,133,35,35,63,26.32%,132,199,74,58,0.9924812030075187,1.1917293233082706,1.524812030075188,1.4962406015037595,38718.0
Norwich City,38,5,7,26,13.16%,23,84,12,11,0.6052631578947368,0.8526315789473684,1.986842105263158,2.210526315789474,26836.0
Newcastle Utd,134,60,35,39,44.78%,231,179,126,105,1.7238805970149254,1.6492537313432836,1.3567164179104478,1.335820895522388,51953.0
Tottenham,134,67,20,47,50.0%,255,194,139,116,1.9029850746268657,1.6582089552238806,1.3888059701492539,1.4477611940298507,60102.0
Liverpool,133,85,32,16,63.91%,302,133,164,138,2.2706766917293235,2.194736842105263,1.11203007518797,1.0,54998.0
Aston Villa,134,60,26,48,44.78%,209,193,129,80,1.5597014925373134,1.403731343283582,1.3880597014925373,1.4402985074626866,41767.0
Manchester City,134,95,22,17,70.9%,325,120,190,135,2.425373134328358,2.1171641791044777,0.9022388059701492,0.8955223880597015,53005.0
Leeds United,76,16,21,39,21.05%,90,157,45,45,1.1842105263157894,1.2013157894736841,1.7723684210526314,2.0657894736842106,36437.0
Crystal Palace,134,39,46,49,29.1%,168,181,95,73,1.2537313432835822,1.2022388059701492,1.2649253731343284,1.3507462686567164,24875.0
Brighton,134,48,45,41,35.82%,199,188,100,99,1.4850746268656716,1.5208955223880598,1.3350746268656717,1.4029850746268657,31819.0
Wolves,134,43,25,66,32.09%,150,211,79,71,1.1194029850746268,1.0626865671641792,1.6216417910447762,1.5746268656716418,31035.0
Southampton,96,16,23,57,16.67%,91,184,49,42,0.9479166666666666,1.0645833333333334,1.7375,1.9166666666666667,30463.0
Arsenal,134,87,21,26,64.93%,279,138,154,125,2.082089552238806,1.8059701492537314,0.9940298507462688,1.0298507462686568,60066.0
West Ham,134,47,30,57,35.07%,186,219,103,83,1.3880597014925373,1.3544776119402988,1.5947761194029855,1.6343283582089552,61333.0
Fulham,96,35,24,37,36.46%,140,141,80,60,1.4583333333333333,1.3010416666666667,1.578125,1.46875,24507.0
Bournemouth,96,33,21,42,34.38%,121,161,59,62,1.2604166666666667,1.3875,1.5239583333333335,1.6770833333333333,10824.0
Nott'ham Forest,96,30,24,42,31.25%,116,154,65,51,1.2083333333333333,1.194791666666667,1.4437499999999999,1.6041666666666667,29425.0
Sheffield Utd,38,3,7,28,7.89%,35,104,19,16,0.9210526315789473,1.0157894736842104,2.0184210526315787,2.736842105263158,30011.0
Luton Town,38,6,8,24,15.79%,52,85,28,24,1.368421052631579,1.1131578947368421,2.047368421052632,2.236842105263158,11240.0
Ipswich Town,20,3,7,10,15.0%,20,35,8,12,1.0,0.9600000000000002,2.035,1.75,29768.0
